City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,bethel,41.3712,-73.414,66.49,93,90,0.0,US,1628244747
348,huarmey,-10.0681,-78.1522,62.26,89,37,9.06,PE,1628244751
349,guerrero negro,27.9769,-114.0611,72.0,79,0,4.97,MX,1628244754
350,makakilo city,21.3469,-158.0858,79.12,69,20,6.91,US,1628244702
351,bintulu,3.1667,113.0333,85.03,71,51,5.55,MY,1628244761
352,natitingou,10.3042,1.3796,77.07,79,94,8.99,BJ,1628244764
353,shenzhen,22.5455,114.0683,85.95,99,100,7.54,CN,1628244767
354,kogon,39.7228,64.5517,103.64,15,0,16.11,UZ,1628244771
355,meulaboh,4.1363,96.1285,84.78,67,74,8.19,ID,1628244774
356,anadyr,64.75,177.4833,53.01,81,96,8.79,RU,1628244777
357,bozeman,45.6796,-111.0386,61.79,75,40,10.36,US,1628244682
358,chimbote,-9.0853,-78.5783,62.33,89,74,7.36,PE,1628244784
359,sorland,67.667,12.6934,62.67,76,98,6.29,NO,1628244787
360,dicabisagan,17.0818,122.4157,88.57,66,83,8.41,PH,1628244791
361,varhaug,58.6147,5.6457,70.86,59,72,21.3,NO,1628244794
362,kaitangata,-46.2817,169.8464,46.92,77,77,5.44,NZ,1628244798
363,leshukonskoye,64.8989,45.7622,63.97,40,15,5.84,RU,1628244801
